road_length,lanes,max_speed,road_width,curvature,highway_class,label
54.88006960119949,3.0,40.0,10.5,0.01822155123466067,trunk,highway
179.79541578226986,3.0,,10.5,0.005561877068161672,trunk,highway
18.835166829961967,1.0,,3.5,0.05309217640744514,trunk,highway
69.52979661939008,1.0,,3.5,0.014382323099175089,living_street,service_road
69.58719147914053,1.0,,3.5,0.014370460694620219,living_street,service_road
13.278319981370242,1.0,,3.5,0.07531073218622693,living_street,service_road
69.52979661939008,1.0,,3.5,0.014382323099175089,living_street,service_road
69.58719147914053,1.0,,3.5,0.014370460694620219,living_street,service_road
148.06274714700817,2.0,50.0,7.0,0.006753893327449359,trunk,highway
96.56080679052525,1.0,,3.5,0.01035616864893596,living_street,service_road
161.60346454750925,2.0,,7.0,0.00618798614745053,trunk,highway
578.0341303617772,2.0,,7.0,0.001730001651241813,trunk,highway
96.56080679052525,1.0,,3.5,0.01035616864893596,living_street,service_road
13.278319981370242,1.0,,3.5,0.07531073218622693,living_street,service_road
59.167907225473655,2.0,,7.0,0.016901054083073404,trunk,highway
127.1881383196476,2.0,,7.0,0.007862368403308277,trunk,highway
